ID,Route,time
0,['8'],2262
1,['8'],6464
2,['8'],5253
3,['8'],3016
4,['8'],3750
5,"['3', '5', '6', '9']",213
6,"['3', '5', '6', '9']",172
7,['9'],2249
8,['9'],5333
9,['9'],5414
10,['9'],5495
11,['9'],5726
12,"['7', '9', '10', '11']",207
13,['11'],4621
14,['11'],4821
15,['11'],5878
16,['10'],2444
17,['10'],3760
18,['10'],3999
19,['10'],4440
20,['10'],4495
21,"['7', '3', '4', '8', '5']",207
22,"['7', '3', '4', '8', '5']",173
23,"['7', '3', '4', '8', '5']",140
24,['5'],5640
25,['5'],6195
26,['5'],6306
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
0,"['5', '4', '6', '9', '8']",0
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['5', '4', '6', '9', '8']",0
4,"['5', '4', '6', '9', '8']",0
5,"['2', '3', '5', '6', '9']",0
6,"['2', '3', '5', '6', '9']",0
7,"['2', '3', '5', '6', '9']",0
8,"['2', '3', '5', '6', '9']",0
9,"['2', '3', '5', '6', '9']",0
10,"['2', '3', '5', '6', '9']",0
11,"['2', '3', '5', '6', '9']",0
12,"['8', '7', '9', '10', '11']",0
13,"['8', '7', '9', '10', '11']",0
14,"['8', '7', '9', '10', '11']",0
15,"['8', '7', '9', '10', '11']",0
16,"['5', '7', '8', '9', '10']",0
17,"['5', '7', '8', '9', '10']",0
18,"['5', '7', '8', '9', '10']",0
19,"['5', '7', '8', '9', '10']",0
20,"['5', '7', '8', '9', '10']",0
21,"['1', '7', '3', '4', '8', '5']",0
22,"['1', '7', '3', '4', '8', '5']",0
23,"['1', '7', '3', '4', '8', '5']",0
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
