ID,Route,time
0,"['4', '6', '9', '8']",1106
1,"['5', '4', '6', '9', '8']",0
2,"['5', '4', '6', '9', '8']",0
3,"['4', '6', '9', '8']",411
4,"['4', '6', '9', '8']",526
5,"['2', '3', '5', '6', '9']",0
6,"['3', '5', '6', '9']",368
7,"['3', '5', '6', '9']",494
8,"['3', '5', '6', '9']",599
9,"['3', '5', '6', '9']",806
10,"['3', '5', '6', '9']",932
11,"['2', '3', '5', '6', '9']",0
12,"['7', '9', '10', '11']",266
13,"['7', '9', '10', '11']",518
14,"['7', '9', '10', '11']",1088
15,"['8', '7', '9', '10', '11']",0
16,"['8', '9', '10']",824
17,"['8', '9', '10']",864
18,"['8', '9', '10']",904
19,"['7', '8', '9', '10']",839
20,"['7', '8', '9', '10']",984
21,"['3', '4', '8', '5']",704
22,"['7', '3', '4', '8', '5']",447
23,"['7', '3', '4', '8', '5']",939
24,"['1', '7', '3', '4', '8', '5']",0
25,"['1', '7', '3', '4', '8', '5']",0
26,"['1', '7', '3', '4', '8', '5']",0
