current_time,cycle_time(sec),Type,ID
3729,3707,C,60
6370,6288,C,61
7462,7441,B,30
7795,7414,B,31
8518,8376,C,62
8620,7879,B,32
8818,8616,C,63
9118,8856,C,64
9154,9133,A,0
9641,9320,A,1
9724,9402,C,65
10024,9642,C,66
10723,10281,C,67
11023,10521,C,68
11170,10069,B,33
11210,10589,A,2
11323,10761,C,69
11785,11163,C,70
12088,11406,C,71
12136,10675,B,34
13650,12908,C,72
13950,13148,C,73
14250,13388,C,74
14550,13628,C,75
15633,14651,C,76
15867,14046,B,35
15933,14891,C,77
16167,13986,B,36
16467,13925,B,37
17922,15020,B,38
18451,15189,B,39
18681,17579,C,78
19008,17846,C,79
