ID,type,route,age,cycle_time,transfer,thru,count,nextws
0,A,"['8', '14']",5323,6871,False,False,3,14
1,A,"['8', '14']",5749,7168,False,False,3,14
2,A,"['8', '14']",7420,8557,False,False,3,14
3,A,"['3', '14']",8983,19161,True,False,3,10
4,A,"['3', '14']",9490,18861,True,False,3,10
5,A,"['1', '3', '14']",7871,18538,False,False,2,3
6,A,"['1', '3', '14']",8231,18260,False,False,2,3
7,A,"['1', '3', '14']",8591,17960,False,False,2,3
8,A,"['1', '3', '14']",8951,17660,False,False,2,3
9,A,"['1', '3', '14']",9311,17360,False,False,2,3
10,A,"['1', '3', '14']",9671,17060,False,False,2,3
11,A,"['1', '3', '14']",10031,16760,False,False,2,3
12,A,"['1', '3', '14']",10391,16460,False,False,2,3
13,A,"['1', '3', '14']",10751,16160,False,False,2,3
14,A,"['1', '3', '14']",11111,15860,False,False,2,3
15,A,"['3', '1', '3', '14']",8083,15559,False,False,1,1
16,A,"['3', '1', '3', '14']",8323,15259,False,False,1,1
17,A,"['3', '1', '3', '14']",8563,14926,False,False,1,1
18,A,"['3', '1', '3', '14']",8803,14626,False,False,1,1
19,A,"['3', '1', '3', '14']",9043,14337,False,False,1,1
20,A,"['3', '1', '3', '14']",9283,14060,False,False,1,1
21,A,"['3', '1', '3', '14']",9523,13760,False,False,1,1
22,A,"['3', '1', '3', '14']",9763,13460,False,False,1,1
23,A,"['3', '1', '3', '14']",10003,13160,False,False,1,1
24,A,"['2', '1', '3', '14']",10243,12860,False,False,1,1
25,A,"['4', '2', '1', '3', '14']",7822,300,False,False,0,2
26,A,"['2', '1', '3', '14']",14314,12260,False,False,1,1
27,A,"['2', '1', '3', '14']",14554,11960,False,False,1,1
28,A,"['4', '2', '1', '3', '14']",8722,11659,False,False,0,2
29,A,"['4', '2', '1', '3', '14']",9022,11348,False,False,0,2
30,B,"['13', '17']",5699,5678,False,False,3,17
31,B,"['13', '17']",5890,5509,False,False,3,17
32,B,"['13', '17']",6493,5752,False,False,3,17
33,B,"['13', '17']",8734,7633,False,False,3,17
34,B,"['13', '17']",10063,8602,False,False,3,17
