ID,type,route,age,cycle_time,transfer,thru,count,nextws
0,A,['14'],3733,8249,False,True,4,-1
1,A,['14'],1958,4974,False,True,4,-1
2,A,['14'],4108,4524,False,False,4,-1
3,A,['14'],5038,8384,False,False,4,-1
4,A,['14'],5233,7219,False,False,4,-1
5,A,['14'],5683,6314,False,False,4,-1
6,A,['14'],5928,7934,False,False,4,-1
7,A,['14'],6213,8439,False,True,4,-1
8,A,['14'],6633,8439,False,False,4,-1
9,A,['14'],7048,8239,False,False,4,-1
10,A,['14'],7308,8274,False,False,4,-1
11,A,['14'],7723,7874,False,False,4,-1
12,A,['14'],10358,9674,False,False,4,-1
13,A,['14'],10538,8554,False,False,4,-1
14,A,['14'],10718,8529,False,False,4,-1
15,A,['14'],10898,9614,False,False,4,-1
16,A,"['3', '14']",11478,8629,False,False,3,14
17,A,['14'],11658,9239,False,False,4,-1
18,A,['14'],11868,9894,False,False,4,-1
19,A,['14'],12248,9259,False,False,4,-1
20,A,['14'],12428,9774,False,False,4,-1
21,A,['14'],12608,9639,False,False,4,-1
22,A,['14'],12838,9434,False,False,4,-1
23,A,['14'],13113,8794,False,False,4,-1
24,A,['14'],13988,9214,False,False,4,-1
25,A,['14'],14168,9124,False,False,4,-1
26,A,['14'],14348,9099,False,False,4,-1
27,A,['14'],14528,9739,False,False,4,-1
28,A,['14'],15638,9119,False,False,4,-1
29,A,['14'],17008,8999,False,False,4,-1
30,B,['17'],2098,2139,False,False,4,-1
31,B,['17'],3663,3709,False,False,4,-1
32,B,['17'],5133,4719,False,False,4,-1
33,B,['17'],5943,5084,False,False,4,-1
34,B,['17'],7008,5784,False,False,4,-1
35,B,['17'],7293,5769,False,False,4,-1
36,B,['17'],8698,6664,False,False,4,-1
37,B,['17'],11673,10364,False,False,4,-1
38,B,['17'],12158,10044,False,False,4,-1
39,B,['17'],12498,10304,False,False,4,-1
40,B,['17'],12278,9364,False,False,4,-1
41,B,['17'],9628,7644,False,False,4,-1
42,B,['17'],14508,10759,False,False,4,-1
43,B,['17'],15068,11119,False,False,4,-1
44,B,['17'],13918,9999,False,False,4,-1
45,B,['17'],14693,9694,False,False,4,-1
46,B,"['13', '17']",15163,9934,False,False,3,17
47,B,['17'],12943,7739,False,False,4,-1
48,B,['17'],13283,7769,False,False,4,-1
49,B,['17'],14318,7594,False,False,4,-1
50,B,['17'],13613,7194,False,False,4,-1
51,B,['17'],15638,8964,False,False,4,-1
52,B,['17'],14873,7489,False,False,4,-1
53,B,['17'],16168,8294,False,False,4,-1
54,B,['17'],16593,8419,False,False,4,-1
55,B,['17'],16328,7614,False,False,4,-1
56,B,['17'],17323,8089,False,False,4,-1
57,B,['17'],17418,7769,False,False,4,-1
58,B,['17'],17623,7814,False,False,4,-1
59,B,['17'],17863,7494,False,False,4,-1
60,C,['18'],1198,2744,False,False,4,-1
61,C,['18'],1513,2269,False,False,4,-1
62,C,['18'],2113,4189,False,False,4,-1
63,C,['18'],2558,4324,False,False,4,-1
64,C,['18'],1813,3674,False,False,4,-1
65,C,['18'],2858,4329,False,False,4,-1
66,C,['18'],3643,5029,False,False,4,-1
67,C,['18'],5293,5699,False,False,4,-1
68,C,['18'],3943,5179,False,False,4,-1
69,C,['18'],4243,4699,False,False,4,-1
70,C,['18'],6568,6179,False,False,4,-1
71,C,['18'],5593,5704,False,False,4,-1
72,C,['18'],5928,5769,False,False,4,-1
73,C,['18'],6868,6284,False,False,4,-1
74,C,['18'],6268,5774,False,False,4,-1
75,C,['18'],8068,8249,False,False,4,-1
76,C,['18'],7168,6399,False,False,4,-1
77,C,['18'],7468,6504,False,False,4,-1
78,C,['18'],7768,7699,False,False,4,-1
79,C,['18'],8368,7859,False,False,4,-1
80,D,['15'],12388,13719,False,False,7,-1
81,D,['15'],9478,9554,False,False,7,-1
82,D,['15'],11148,11754,False,False,7,-1
83,D,['15'],12633,14134,False,False,7,-1
84,D,['15'],12883,14439,False,False,7,-1
85,D,['15'],12733,14194,False,False,7,-1
86,D,['15'],13768,14259,False,False,7,-1
87,D,['15'],11923,12899,False,False,7,-1
88,D,['15'],14668,14859,False,False,7,-1
89,D,['15'],15268,15739,False,False,7,-1
90,D,['15'],13503,14274,False,False,7,-1
91,D,['15'],16198,16319,False,False,7,-1
92,D,['15'],15748,15949,False,False,7,-1
93,D,['15'],14918,15324,False,False,7,-1
94,D,['15'],16328,16219,False,False,7,-1
95,D,['15'],16018,15944,False,False,7,-1
96,D,['15'],16893,16259,False,False,7,-1
97,D,['15'],16608,16119,False,False,7,-1
98,D,['15'],17053,16219,False,False,7,-1
99,D,['15'],17113,16239,False,False,7,-1
0,"['4', '2', '1', '3', '14']",0
1,"['4', '2', '1', '3', '14']",0
2,"['4', '2', '1', '3', '14']",0
