current_time,cycle_time(sec),Type,ID
2473,2439,B,30
2663,2569,C,61
3078,3044,C,60
4248,3974,C,64
4403,4009,B,31
4643,4489,C,62
4943,4729,C,63
5218,4584,A,2
5243,4909,C,65
5368,5034,A,1
5573,4999,C,69
5773,5019,B,32
5873,5479,C,66
6173,5659,C,68
6473,6019,C,67
6498,5384,B,33
6773,6079,C,71
7073,6319,C,72
7373,6499,C,74
7558,6084,B,34
7673,7039,C,70
7903,6069,B,35
7908,6374,A,5
7973,7159,C,73
8273,7279,C,76
8343,8309,A,0
8513,7279,A,4
8573,7519,C,77
9113,7999,C,78
9158,6964,B,36
9378,8444,A,3
9413,8239,C,79
9713,8779,C,75
9828,7994,A,6
10008,9914,D,81
10633,8499,A,7
10933,8499,A,8
11033,8299,A,9
11268,7934,A,11
11368,8334,A,10
11938,7944,B,41
12268,12114,D,82
12548,8614,A,13
12823,8589,A,14
13218,10664,B,37
13368,9734,A,12
13518,10604,B,38
13678,8844,A,16
13713,13259,D,87
13818,10184,B,40
14113,14079,D,80
14118,10844,B,39
14208,9674,A,15
14418,8264,B,47
14433,9299,A,17
14708,14494,D,83
14718,8204,B,48
15018,7784,B,50
15053,9319,A,19
15068,14734,D,85
15318,8444,B,49
15388,9954,A,18
15428,15034,D,86
15618,10544,B,44
15788,15514,D,84
15808,8874,A,23
15868,9834,A,20
15918,11564,B,42
16078,9744,A,21
16138,9504,A,22
16148,15514,D,90
16218,10784,B,45
16508,9274,A,24
16508,15994,D,88
16518,8564,B,52
16718,9184,A,25
16818,11024,B,46
16868,16054,D,93
16993,9159,A,26
17118,12404,B,43
17228,16654,D,89
17418,9824,B,51
17588,16834,D,92
17613,9179,A,28
17718,9404,B,53
17793,9059,A,29
17933,9799,A,27
17948,17014,D,95
18018,8984,B,55
18308,17614,D,91
18318,9644,B,54
18618,9224,B,56
18668,17794,D,94
18918,9164,B,57
19028,17974,D,97
19218,9104,B,58
19388,18394,D,96
19518,9044,B,59
19748,18634,D,98
20108,18934,D,99
