ID,type,route,age,cycle_time,transfer,thru,count,nextws
0,A,"['8', '14']",1899,3986,False,False,3,14
1,A,"['2', '14']",5262,7057,False,False,3,14
2,A,"['2', '14']",5712,6842,False,False,3,14
3,A,"['2', '14']",7634,9760,False,False,3,14
4,A,"['2', '14']",9122,12383,False,False,3,14
5,A,"['2', '14']",10788,13952,False,False,3,14
6,A,"['2', '14']",10968,13653,False,False,3,14
7,A,"['10', '14']",11148,15034,False,False,3,14
8,A,"['10', '14']",11423,14799,False,False,3,14
9,A,"['9', '14']",11603,17692,False,False,3,14
10,A,"['9', '14']",11783,17428,False,False,3,14
11,A,"['9', '14']",12326,17164,False,False,3,14
12,A,"['9', '14']",12776,16900,False,False,3,14
13,A,"['10', '14']",13952,18809,False,False,3,14
14,A,"['10', '14']",14132,18545,False,False,3,14
15,A,"['2', '14']",14312,15712,False,False,3,14
16,A,"['10', '14']",14495,17981,False,False,3,14
17,A,"['10', '14']",14675,17720,False,False,3,14
18,A,"['10', '14']",14855,17456,False,False,3,14
19,A,"['10', '14']",15035,17192,False,False,3,14
20,A,"['10', '14']",15215,16928,False,False,3,14
21,A,"['10', '14']",15396,16664,False,False,3,14
22,A,"['10', '14']",18136,16616,False,False,3,14
23,A,"['10', '14']",18316,16388,False,False,3,14
24,A,"['10', '14']",18496,16124,False,False,3,14
25,A,"['15', '14']",18676,17823,False,False,3,14
26,A,"['10', '14']",19042,14687,False,False,3,14
27,A,"['3', '14']",19222,12112,False,False,3,14
28,A,"['3', '14']",19402,11812,False,False,3,14
29,A,"['3', '14']",19582,11512,False,False,3,14
30,B,"['13', '17']",4470,4451,False,False,3,17
31,B,"['13', '17']",5721,6281,False,False,3,17
32,B,"['13', '17']",10795,10056,False,False,3,17
33,B,"['13', '17']",12211,12516,False,False,3,17
34,B,"['13', '17']",12595,12110,False,False,3,17
35,B,"['13', '17']",12934,11773,False,False,3,17
36,B,"['13', '17']",13027,11413,False,False,3,17
37,B,"['13', '17']",13708,12943,False,False,3,17
38,B,"['13', '17']",13816,12583,False,False,3,17
39,B,"['13', '17']",12535,10299,False,False,3,17
40,B,"['13', '17']",14470,11863,False,False,3,17
41,B,"['13', '17']",15595,13119,False,False,3,17
42,B,"['13', '17']",15897,12758,False,False,3,17
43,B,"['13', '17']",17410,15532,False,False,3,17
44,B,"['13', '17']",17587,15172,False,False,3,17
45,B,"['13', '17']",17803,14812,False,False,3,17
46,B,"['13', '17']",20511,14731,False,False,3,17
47,B,"['13', '17']",20571,14431,False,False,3,17
48,B,"['13', '17']",20631,14131,False,False,3,17
49,B,"['13', '17']",20691,13831,False,False,3,17
50,B,"['13', '17']",20751,13531,False,False,3,17
51,B,"['13', '17']",20811,13231,False,False,3,17
52,B,"['13', '17']",20871,12931,False,False,3,17
53,B,"['13', '17']",20931,12631,False,False,3,17
54,B,"['13', '17']",20991,12332,False,False,3,17
55,B,"['13', '17']",21052,12032,False,False,3,17
56,B,"['13', '17']",21112,11732,False,False,3,17
57,B,"['13', '17']",21172,11432,False,False,3,17
58,B,"['13', '17']",21232,11132,False,False,3,17
59,B,"['13', '17']",21668,12038,False,False,3,17
60,C,"['14', '18']",1800,3136,False,False,3,18
61,C,"['14', '18']",3381,5302,False,False,3,18
62,C,"['10', '18']",9552,10327,False,False,3,18
63,C,"['16', '18']",5285,10344,False,False,3,18
64,C,"['11', '18']",5814,10194,False,False,3,18
65,C,"['16', '18']",6114,10284,False,False,3,18
66,C,"['16', '18']",7152,10251,False,False,3,18
67,C,"['16', '18']",7452,10259,False,False,3,18
68,C,"['16', '18']",7752,10341,False,False,3,18
69,C,"['16', '18']",8052,13054,False,False,3,18
70,C,"['16', '18']",8352,12994,False,False,3,18
71,C,"['10', '18']",8652,9785,False,False,3,18
72,C,"['10', '18']",8952,9726,False,False,3,18
73,C,"['10', '18']",9252,9666,False,False,3,18
74,C,"['10', '18']",9853,9606,False,False,3,18
75,C,"['10', '18']",10153,9546,False,False,3,18
76,C,"['10', '18']",10453,9486,False,False,3,18
77,C,"['10', '18']",12034,14441,False,False,3,18
78,C,"['10', '18']",12334,14381,False,False,3,18
79,C,"['10', '18']",14010,15938,False,False,3,18
80,D,"['14', '15']",17326,20213,False,False,6,15
81,D,"['14', '15']",23887,25103,True,False,6,18
82,D,"['14', '15']",23965,25043,True,False,6,18
83,D,"['14', '15']",24061,24983,True,False,6,18
84,D,"['14', '15']",24157,24934,False,False,6,15
85,D,"['14', '15']",24355,24873,False,False,6,15
86,D,"['14', '15']",25595,25215,False,False,6,15
87,D,"['14', '15']",25898,25459,False,False,6,15
88,D,"['14', '15']",25358,24858,False,False,6,15
89,D,"['14', '15']",26024,25465,False,False,6,15
90,D,"['14', '15']",26150,25531,False,False,6,15
91,D,"['14', '15']",26294,25614,False,False,6,15
92,D,"['14', '15']",26420,25680,False,False,6,15
93,D,"['14', '15']",18776,19432,False,False,6,15
94,D,"['14', '15']",20504,19644,False,False,6,15
95,D,"['14', '15']",23689,24262,True,False,6,18
96,D,"['14', '15']",23788,24202,True,False,6,18
97,D,"['14', '15']",22651,21611,False,False,6,15
98,D,"['14', '15']",22948,21848,False,False,6,15
99,D,"['14', '15']",25757,24597,False,False,6,15
